"Diet"	"AgeCat"	"UrbanizationCat"
"S1"	"vegan"	"[18,45)"	"[1,3)"
"S10"	"vegetarian"	"[45,70)"	"[3,5]"
"S100"	"vegan"	"[18,45)"	"[3,5]"
"S101"	"vegetarian"	"[45,70)"	"[1,3)"
"S102"	"meateater"	"[18,45)"	"[3,5]"
"S103"	"meateater"	"[18,45)"	"[1,3)"
"S104"	"fisheater"	"[45,70)"	"[3,5]"
"S105"	"vegan"	"[45,70)"	"[3,5]"
"S106"	"vegetarian"	"[45,70)"	"[1,3)"
"S107"	"meateater"	"[18,45)"	"[1,3)"
"S109"	"meateater"	"[45,70)"	"[1,3)"
"S11"	"meateater"	"[45,70)"	"[3,5]"
"S110"	"fisheater"	"[45,70)"	"[3,5]"
"S111"	"vegan"	"[45,70)"	"[3,5]"
"S112"	"vegetarian"	"[45,70)"	"[1,3)"
"S113"	"meateater"	"[18,45)"	"[3,5]"
"S114"	"meateater"	"[18,45)"	"[1,3)"
"S115"	"fisheater"	"[45,70)"	"[3,5]"
"S116"	"vegan"	"[18,45)"	"[1,3)"
"S117"	"vegetarian"	"[18,45)"	"[1,3)"
"S118"	"meateater"	"[45,70)"	"[3,5]"
"S119"	"meateater"	"[45,70)"	"[1,3)"
"S12"	"fisheater"	"[45,70)"	"[3,5]"
"S120"	"fisheater"	"[45,70)"	"[1,3)"
"S121"	"vegan"	"[18,45)"	"[3,5]"
"S122"	"vegetarian"	"[45,70)"	"[3,5]"
"S123"	"meateater"	"[18,45)"	"[1,3)"
"S124"	"meateater"	"[45,70)"	"[1,3)"
"S125"	"fisheater"	"[45,70)"	"[1,3)"
"S126"	"vegan"	"[18,45)"	"[3,5]"
"S127"	"vegetarian"	"[45,70)"	"[1,3)"
"S128"	"meateater"	"[18,45)"	"[3,5]"
"S129"	"meateater"	"[45,70)"	"[1,3)"
"S13"	"vegan"	"[45,70)"	"[3,5]"
"S130"	"fisheater"	"[45,70)"	"[1,3)"
"S131"	"vegan"	"[18,45)"	"[1,3)"
"S132"	"vegetarian"	"[45,70)"	"[1,3)"
"S134"	"meateater"	"[45,70)"	"[1,3)"
"S135"	"meateater"	"[18,45)"	"[1,3)"
"S136"	"fisheater"	"[18,45)"	"[1,3)"
"S137"	"vegan"	"[18,45)"	"[3,5]"
"S138"	"vegetarian"	"[18,45)"	"[1,3)"
"S139"	"meateater"	"[18,45)"	"[1,3)"
"S14"	"vegetarian"	"[18,45)"	"[1,3)"
"S140"	"meateater"	"[45,70)"	"[3,5]"
"S141"	"fisheater"	"[18,45)"	"[3,5]"
"S142"	"vegan"	"[18,45)"	"[1,3)"
"S143"	"vegetarian"	"[45,70)"	"[1,3)"
"S144"	"meateater"	"[18,45)"	"[1,3)"
"S145"	"meateater"	"[18,45)"	"[3,5]"
"S146"	"fisheater"	"[18,45)"	"[1,3)"
"S147"	"vegan"	"[18,45)"	"[1,3)"
"S149"	"vegetarian"	"[18,45)"	"[3,5]"
"S15"	"meateater"	"[45,70)"	"[1,3)"
"S150"	"meateater"	"[18,45)"	"[1,3)"
"S151"	"fisheater"	"[45,70)"	"[3,5]"
"S152"	"vegetarian"	"[45,70)"	"[3,5]"
"S153"	"meateater"	"[45,70)"	"[3,5]"
"S154"	"fisheater"	"[18,45)"	"[1,3)"
"S155"	"vegetarian"	"[18,45)"	"[1,3)"
"S16"	"fisheater"	"[45,70)"	"[3,5]"
"S17"	"vegan"	"[18,45)"	"[3,5]"
"S18"	"vegetarian"	"[45,70)"	"[1,3)"
"S19"	"meateater"	"[45,70)"	"[1,3)"
"S2"	"vegetarian"	"[18,45)"	"[1,3)"
"S20"	"fisheater"	"[45,70)"	"[1,3)"
"S21"	"vegan"	"[18,45)"	"[1,3)"
